,beer/ABV,review/appearance,review/aroma,review/overall,review/palate,review/taste
31243,5.8,4.0,3.5,4.0,3.5,4.0
36885,5.2,3.5,3.5,4.0,3.5,3.5
37423,5.7,3.5,3.0,3.0,2.5,3.5
6148,8.3,4.5,4.5,5.0,4.0,4.5
23245,9.4,4.0,4.5,4.5,4.0,4.0
27389,10.0,4.0,3.5,2.0,3.5,1.5
18834,10.6,4.0,4.5,5.0,4.5,5.0
8565,13.0,4.0,4.0,3.5,4.5,4.0
33779,10.0,4.5,4.0,4.5,4.5,4.5
10670,5.0,3.5,3.0,3.5,3.5,3.5
5511,12.0,4.0,3.5,4.0,4.0,4.0
23379,11.2,4.0,5.0,4.0,4.5,5.0
7901,10.2,4.0,4.5,3.5,4.0,5.0
1366,4.75,4.0,3.0,3.5,4.5,3.5
2498,11.2,5.0,4.5,5.0,4.5,5.0
12408,8.5,4.0,4.0,4.5,4.5,3.5
5416,5.0,3.5,2.5,3.5,3.0,3.0
28873,8.0,3.5,3.5,4.0,4.0,4.0
3294,6.6,4.0,4.5,5.0,5.0,4.5
12551,12.0,4.0,4.5,4.0,4.0,4.0
8059,4.4,2.5,4.0,3.0,3.0,3.0
27994,6.9,4.0,3.5,4.0,4.0,4.0
23951,4.9,3.0,3.0,3.5,3.0,3.5
7495,5.9,4.0,4.0,4.0,3.0,4.0
7022,5.3,4.5,3.5,4.0,3.5,3.5
30419,11.2,5.0,4.0,4.5,5.0,4.5
4029,4.9,4.0,4.5,4.0,4.0,4.0
7103,5.5,3.5,2.0,4.0,4.0,4.0
3588,7.0,4.5,4.5,4.5,5.0,4.5
3496,5.7,4.0,4.0,2.5,2.5,2.5
4845,6.5,4.0,4.5,4.0,4.5,4.5
12395,9.4,2.5,4.0,4.0,4.0,4.5
9498,9.5,3.0,3.0,4.0,3.5,4.0
2449,5.0,2.0,3.5,4.0,4.0,4.0
28829,8.5,4.5,4.0,4.5,5.0,4.0
21667,5.5,3.5,4.5,4.5,3.5,4.0
26857,10.5,4.5,4.0,3.5,4.5,4.0
12757,10.6,5.0,4.5,5.0,5.0,5.0
31066,5.8,4.0,4.0,4.0,3.0,4.0
34272,7.5,4.0,4.5,5.0,4.0,5.0
17330,10.0,4.0,3.5,4.0,4.5,4.0
33731,5.0,2.0,2.0,2.0,3.0,2.0
36264,9.8,3.5,3.5,3.5,3.5,3.5
15362,10.5,4.5,4.5,4.5,4.5,4.0
